Originating Account Number,Posting Date,Trans Date,Type,Category,Merchant Name,Merchant City,Merchant State,Description,Transaction Type,Amount,Reference Number,Diverted To Account Last4
XXXX-1234,11/7/2021,11/5/2021,Debit,Groceries,WAY OFF SUPERMARKET,ANYWHERE CITY,MT,Grocery Stores Supermarkets,Purchase,$13.02 ,x12345679132,XXXX-
XXXX-1234,11/7/2021,11/5/2021,Debit,Gifts Given,PARK NOVELTIES CO,ANYWHERE CITY,MT,Gift Card Novelty & Souvenir Shops,Purchase,$9.00 ,x12345679133,XXXX-
XXXX-1234,11/5/2021,11/4/2021,Debit,Groceries,GROCERY INC 2087,ANYWHERE CITY,MT,Grocery Stores Supermarkets,Purchase,$10.00 ,x12345679134,XXXX-
XXXX-1234,11/5/2021,11/4/2021,Debit,Groceries,GROCERY INC 2087,ANYWHERE CITY,MT,Grocery Stores Supermarkets,Purchase,$5.46 ,x12345679135,XXXX-
XXXX-1234,11/5/2021,11/3/2021,Debit,Dining Out,EAT EM UP SUBS,ANYWHERE CITY,MT,Express Payment Services (Fast Food),Purchase,$20.02 ,x12345679136,XXXX-
XXXX-1234,11/2/2021,11/2/2021,Credit,Payments and Fees,WEB PAYMENT,ANYWHERE CITY,MT,Financial Institutions - Banks Savings,Payment,($182.62),x12345679137,XXXX-
XXXX-1234,11/2/2021,11/1/2021,Debit,Miscellaneous,LOCAL CITY,ANYWHERE CITY,MT,Government Services Not Elsewhere Clas,Purchase,$84.59 ,x12345679138,XXXX-
XXXX-1234,11/2/2021,11/2/2021,Debit,Miscellaneous,FUN GAMES NET,ANYWHERE CITY,MT,unassigned,Purchase,$5.00 ,x12345679139,XXXX-
XXXX-1234,11/2/2021,11/1/2021,Debit,Auto Related,GUZZLING GAS 5586,ANYWHERE CITY,MT,Automated Gasoline Dispensers,Purchase,$35.89 ,x12345679140,XXXX-
XXXX-1234,11/1/2021,10/31/2021,Debit,Dining Out,EAT EM UP SUBS,ANYWHERE CITY,MT,Express Payment Services (Fast Food),Purchase,$21.66 ,x12345679141,XXXX-
XXXX-1234,11/1/2021,10/31/2021,Debit,Clothing,RUNNING SHOES LLC,ANYWHERE CITY,MT,Shoe Stores,Purchase,$258.79 ,x12345679142,XXXX-
